source, target
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_1
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_2
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_3
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_4
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_5
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_6
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_7
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_8
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_9
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_10
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_11
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_12
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_13
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_14
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_15
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_16
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_17
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_18
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_19
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_20
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_21
http://www.sitg.ch/concept_0 , http://www.sitg.ch/concept_22
http://www.sitg.ch/concept_1 , http://www.sitg.ch/concept_1_1
http://www.sitg.ch/concept_1 , http://www.sitg.ch/concept_1_2
http://www.sitg.ch/concept_1 , http://www.sitg.ch/concept_1_3
http://www.sitg.ch/concept_1 , http://www.sitg.ch/concept_1_4
http://www.sitg.ch/concept_1 , http://www.sitg.ch/concept_1_5
http://www.sitg.ch/concept_1 , http://www.sitg.ch/concept_1_6
http://www.sitg.ch/concept_1 , http://www.sitg.ch/concept_1_7
http://www.sitg.ch/concept_1_1 , http://www.sitg.ch/concept_1_1_1
http://www.sitg.ch/concept_1_1 , http://www.sitg.ch/concept_1_1_2
http://www.sitg.ch/concept_1_1 , http://www.sitg.ch/concept_1_1_3
http://www.sitg.ch/concept_1_1 , http://www.sitg.ch/concept_1_1_4
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_1
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_2
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_3
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_4
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_5
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_6
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_7
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_8
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_9
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_10
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_11
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_12
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_13
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_14
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_15
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_16
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_17
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_18
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_19
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_20
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_21
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_22
http://www.sitg.ch/concept_1_1_1 , http://www.sitg.ch/concept_1_1_1_23
http://www.sitg.ch/concept_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_1
http://www.sitg.ch/concept_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_2
http://www.sitg.ch/concept_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_3
http://www.sitg.ch/concept_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_4
http://www.sitg.ch/concept_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_5
http://www.sitg.ch/concept_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_6
http://www.sitg.ch/concept_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_7
http://www.sitg.ch/concept_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_8
http://www.sitg.ch/concept_1_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_1_1
http://www.sitg.ch/concept_1_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_1_2
http://www.sitg.ch/concept_1_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_1_3
http://www.sitg.ch/concept_1_1_1_1_1 , http://www.sitg.ch/concept_1_1_1_1_1_4
http://www.sitg.ch/concept_1_1_1_1_2 , http://www.sitg.ch/concept_1_1_1_1_2_1
http://www.sitg.ch/concept_1_1_1_1_2 , http://www.sitg.ch/concept_1_1_1_1_2_2
http://www.sitg.ch/concept_1_1_1_1_2 , http://www.sitg.ch/concept_1_1_1_1_2_3
http://www.sitg.ch/concept_1_1_1_1_2 , http://www.sitg.ch/concept_1_1_1_1_2_4
http://www.sitg.ch/concept_1_1_1_1_3 , http://www.sitg.ch/concept_1_1_1_1_3_1
http://www.sitg.ch/concept_1_1_1_1_3 , http://www.sitg.ch/concept_1_1_1_1_3_2
http://www.sitg.ch/concept_1_1_1_1_3 , http://www.sitg.ch/concept_1_1_1_1_3_3
http://www.sitg.ch/concept_1_1_1_1_3 , http://www.sitg.ch/concept_1_1_1_1_3_4
http://www.sitg.ch/concept_1_1_1_1_4 , http://www.sitg.ch/concept_1_1_1_1_4_1
http://www.sitg.ch/concept_1_1_1_1_4 , http://www.sitg.ch/concept_1_1_1_1_4_2
http://www.sitg.ch/concept_1_1_1_1_4 , http://www.sitg.ch/concept_1_1_1_1_4_3
http://www.sitg.ch/concept_1_1_1_1_4 , http://www.sitg.ch/concept_1_1_1_1_4_4
